Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
P3,1000,9,8,12,13,16,4,607,"0,000%","98,10654","134,75","0,00"
Total,1000,9,8,12,13,16,4,607,"0,000%","98,10654","134,75","0,00"
