Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,7500,3,3,5,7,16,1,416,"0,000%","129,90162","252,30","0,00"
/P1-base/procesapago,7500,10,10,14,17,29,5,263,"0,000%","128,95461","157,88","0,00"
Total,15000,7,7,12,15,26,1,416,"0,000%","247,22286","391,42","0,00"
