Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,22500,885,742,1623,2351,4675,1,63748,"0,000%","180,71563","351,11","0,00"
/P1-base/procesapago,22500,894,756,1602,2295,4701,5,63729,"0,000%","179,91796","220,51","0,00"
Total,45000,890,749,1614,2326,4693,1,63748,"0,000%","353,04086","559,30","0,00"
