Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,5000,3,3,4,5,13,1,45,"0,000%","85,70596","166,46","0,00"
/P1-base/procesapago,5000,10,10,14,16,27,5,58,"0,000%","86,06741","104,50","0,00"
Total,10000,6,7,12,14,24,1,58,"0,000%","165,30292","260,88","0,00"
