Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,15000,11,5,29,42,70,1,297,"0,000%","257,28988","499,82","0,00"
/P1-base/procesapago,15000,21,16,42,54,83,5,266,"0,000%","256,02075","313,66","0,00"
Total,30000,16,12,36,50,78,1,297,"0,000%","492,45720","779,99","0,00"
