Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,17500,36,26,88,107,132,1,340,"0,000%","294,53346","572,20","0,00"
/P1-base/procesapago,17500,46,37,98,117,143,6,292,"0,000%","292,45141","358,35","0,00"
Total,35000,41,32,94,112,138,1,340,"0,000%","562,57434","891,14","0,00"
